,pos,req,num
3,Account Managers,"
Account Managers need to travel a lot",20.0
4,CEO,"
The CEO is Vegan",1.0
7,Comon requests,"
30% of the company have at least 1 child",
8,Comon requests,"
All people in the company have between 25 and 40 years, give them some place to go to party",
11,Data Engineers,No specific requirements,15.0
0,Designers,Designers like to go to design talks and share knowledget here must be some nearby companies that also do design,20.0
1,Developers,"
Developers like to be near successful tech startups that have raised at least 1 Million dollars",15.0
2,Executives,"
Executives like Starbucks A LOT, ensure there's a starbucks not to far",10.0
6,Maintenance guy,"
Maintenance guy that loves basketball, if you want to make the Maintenance Guy happy, a basketball stadium must be around 10 Km",1.0
10,UI/UX Engineers,No specific requirements,5.0
5,office dog,"
The office dog ""Pepe"" needs a hairdresser every month ensure there's one not too far away",
